ID,Name,Age,Passport,Race,Place,Gender,Number,Sitting Place
1,Արամ,18,P1001,race1,3,M,555001,seat1
2,Անի,22,P1002,race2,1,F,555002,seat2
3,Արման,19,P1003,race3,5,M,555003,seat3
4,Լիլիթ,25,P1004,race1,2,F,555004,seat4
5,Գոռ,21,P1005,race2,4,M,555005,seat5
6,Մարիամ,23,P1006,race3,1,F,555006,seat6
7,Դավիթ,20,P1007,race1,5,M,555007,seat7
8,Սոնա,24,P1008,race2,3,F,555008,seat8
9,Տիգրան,26,P1009,race3,2,M,555009,seat9
10,Անահիտ,27,P1010,race1,4,F,555010,seat10
11,Հայկ,18,P1011,race2,1,M,555011,seat11
12,Լուսինե,22,P1012,race3,2,F,555012,seat12
13,Վահե,19,P1013,race1,3,M,555013,seat13
14,Գայանե,25,P1014,race2,4,F,555014,seat14
15,Արթուր,21,P1015,race3,5,M,555015,seat15
16,Նարինե,23,P1016,race1,2,F,555016,seat16
17,Սարգիս,20,P1017,race2,3,M,555017,seat17
18,Տաթև,24,P1018,race3,4,F,555018,seat18
19,Կարեն,26,P1019,race1,5,M,555019,seat19
20,Արևիկ,27,P1020,race2,1,F,555020,seat20
21,Հովհաննես,18,P1021,race3,2,M,555021,seat21
22,Էլինա,22,P1022,race1,3,F,555022,seat22
23,Աշոտ,19,P1023,race2,4,M,555023,seat23
24,Շուշան,25,P1024,race3,5,F,555024,seat24
25,Գագիկ,21,P1025,race1,1,M,555025,seat25
26,Սոֆյա,23,P1026,race2,2,F,555026,seat26
27,Միքայել,20,P1027,race3,3,M,555027,seat27
28,Վիկտորիա,24,P1028,race1,4,F,555028,seat28
29,Նարեկ,26,P1029,race2,5,M,555029,seat29
30,Զարուհի,27,P1030,race3,1,F,555030,seat30
